日期,天气状况,气温,风力风向
2011年11月25日,阴/阴,23℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年11月26日,阴/阴,24℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年11月27日,多云/晴,24℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年11月28日,晴/晴,26℃/14℃,无持续风向≤3级/无持续风向≤3级
2011年11月29日,晴/晴,27℃/16℃,无持续风向≤3级/无持续风向≤3级
2011年11月30日,晴/多云,27℃/12℃,无持续风向≤3级/北风3-4级
2011年12月01日,阴/多云,16℃/9℃,北风4-5级/北风3-4级
2011年12月02日,多云/晴,16℃/6℃,北风4-5级/北风3-4级
2011年12月03日,晴/晴,17℃/5℃,无持续风向≤3级/无持续风向≤3级
2011年12月04日,晴/多云,21℃/10℃,无持续风向≤3级/无持续风向≤3级
2011年12月05日,多云/多云,21℃/15℃,无持续风向≤3级/无持续风向≤3级
2011年12月06日,多云/多云,21℃/17℃,无持续风向≤3级/无持续风向≤3级
2011年12月07日,多云/小雨,23℃/13℃,无持续风向≤3级/北风3-4级
2011年12月08日,阴/多云,16℃/9℃,北风3-4级/北风3-4级
2011年12月09日,多云/多云,15℃/6℃,北风4-5级/北风4-5级
2011年12月10日,多云/晴,15℃/4℃,北风4-5级/北风3-4级
2011年12月11日,晴/晴,16℃/4℃,北风3-4级/无持续风向≤3级
2011年12月12日,晴/晴,18℃/8℃,北风3-4级/无持续风向≤3级
2011年12月13日,晴/多云,19℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年12月14日,多云/多云,20℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年12月15日,阴/多云,19℃/11℃,北风3-4级/北风3-4级
2011年12月16日,阴/晴,16℃/10℃,北风4-5级/北风3-4级
2011年12月17日,晴/晴,19℃/8℃,无持续风向≤3级/无持续风向≤3级
2011年12月18日,多云/晴,18℃/7℃,无持续风向≤3级/无持续风向≤3级
2011年12月19日,晴/多云,20℃/11℃,无持续风向≤3级/无持续风向≤3级
2011年12月20日,多云/多云,21℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年12月21日,阴/多云,20℃/12℃,无持续风向≤3级/无持续风向≤3级
2011年12月22日,多云/多云,21℃/10℃,北风3-4级/北风3-4级
2011年12月23日,多云/晴,16℃/5℃,北风3-4级/北风3-4级
2011年12月24日,晴/晴,16℃/5℃,北风3-4级/无持续风向≤3级
2011年12月25日,晴/晴,16℃/7℃,无持续风向≤3级/无持续风向≤3级
2011年12月26日,晴/多云,18℃/10℃,无持续风向≤3级/无持续风向≤3级
2011年12月27日,多云/多云,20℃/10℃,无持续风向≤3级/无持续风向≤3级
2011年12月28日,多云/多云,22℃/13℃,无持续风向≤3级/无持续风向≤3级
2011年12月29日,多云/阴,23℃/12℃,无持续风向微风/无持续风向微风
2011年12月30日,阴/多云,20℃/12℃,北风3-4级/无持续风向≤3级
2011年12月31日,多云/多云,20℃/11℃,无持续风向≤3级/无持续风向≤3级
2012年01月01日,多云/多云,20℃/10℃,无持续风向≤3级/无持续风向≤3级
2012年01月02日,多云/多云,20℃/10℃,无持续风向≤3级/无持续风向≤3级
2012年01月03日,阴/小雨,17℃/8℃,北风3-4级/北风3-4级
2012年01月04日,小雨/小雨,11℃/7℃,北风3-4级/北风3-4级
2012年01月05日,小雨/小雨,11℃/5℃,北风3-4级/无持续风向≤3级
2012年01月06日,小雨/阴,9℃/7℃,无持续风向≤3级/无持续风向≤3级
2012年01月07日,阴/阴,14℃/10℃,无持续风向≤3级/无持续风向≤3级
2012年01月08日,多云/多云,17℃/9℃,无持续风向≤3级/无持续风向≤3级
2012年01月09日,多云/多云,19℃/9℃,无持续风向≤3级/无持续风向≤3级
2012年01月10日,多云/多云,20℃/10℃,无持续风向≤3级/无持续风向≤3级
2012年01月11日,小雨/阴,17℃/11℃,无持续风向≤3级/无持续风向≤3级
2012年01月12日,小雨/小雨,14℃/10℃,无持续风向≤3级/无持续风向≤3级
2012年01月13日,小雨/小到中雨,14℃/11℃,无持续风向≤3级/无持续风向≤3级
2012年01月14日,小雨/中到大雨,17℃/12℃,无持续风向≤3级/无持续风向≤3级
2012年01月15日,中雨/大雨,14℃/12℃,无持续风向≤3级/无持续风向≤3级
2012年01月16日,阴/多云,17℃/12℃,无持续风向≤3级/无持续风向≤3级
2012年01月17日,阴/多云,18℃/12℃,无持续风向≤3级/无持续风向≤3级
2012年01月18日,多云/多云,20℃/14℃,无持续风向≤3级/无持续风向≤3级
2012年01月19日,多云/阵雨,22℃/16℃,无持续风向≤3级/无持续风向≤3级
2012年01月20日,阴/小雨,19℃/11℃,无持续风向≤3级/无持续风向≤3级
2012年01月21日,小雨/小到中雨,13℃/7℃,北风3-4级/北风3-4级
2012年01月22日,小到中雨/小雨,8℃/5℃,北风3-4级/北风3-4级
2012年01月23日,小雨/阴,9℃/5℃,北风3-4级/无持续风向≤3级
2012年01月24日,小雨/小雨,7℃/5℃,北风3-4级/北风3-4级
2012年01月25日,小雨/阴,10℃/5℃,北风3-4级/北风3-4级
2012年01月26日,阴/阴,10℃/5℃,无持续风向≤3级/无持续风向≤3级
2012年01月27日,阴/雾,12℃/9℃,无持续风向≤3级/无持续风向≤3级
2012年01月28日,雾/雾,16℃/11℃,无持续风向≤3级/无持续风向≤3级
2012年01月29日,阴/阴,16℃/8℃,北风3-4级/北风3-4级
2012年01月30日,阴/多云,15℃/8℃,北风3-4级/无持续风向≤3级
2012年01月31日,多云/多云,19℃/10℃,北风3-4级/无持续风向≤3级
2012年02月01日,多云/多云,19℃/12℃,无持续风向≤3级/无持续风向≤3级
2012年02月02日,阴/小雨,16℃/10℃,北风3-4级/北风3-4级
2012年02月03日,小雨/阴,13℃/11℃,无持续风向≤3级/无持续风向≤3级
2012年02月04日,阴/阴,16℃/11℃,无持续风向≤3级/无持续风向≤3级
2012年02月05日,阴/雾,21℃/15℃,无持续风向≤3级/无持续风向≤3级
2012年02月06日,小雨/小雨,23℃/10℃,无持续风向≤3级/北风3-4级
2012年02月07日,阴/多云,17℃/8℃,北风3-4级/东北风3-4级
2012年02月08日,阴/多云,15℃/10℃,东北风3-4级/无持续风向≤3级
2012年02月09日,阴/阴,16℃/10℃,无持续风向≤3级/无持续风向≤3级
2012年02月10日,小雨/阴,11℃/7℃,无持续风向≤3级/北风3-4级
2012年02月11日,阴/阴,13℃/8℃,无持续风向≤3级/无持续风向≤3级
2012年02月12日,阴/雾,16℃/12℃,无持续风向≤3级/无持续风向≤3级
2012年02月13日,雾/多云,23℃/17℃,无持续风向≤3级/无持续风向≤3级
2012年02月14日,多云/多云,26℃/18℃,无持续风向≤3级/无持续风向≤3级
2012年02月15日,多云/小雨,26℃/14℃,无持续风向≤3级/无持续风向≤3级
2012年02月16日,小雨/阴,16℃/10℃,无持续风向≤3级/北风3-4级
2012年02月17日,阴/阴,15℃/9℃,北风3-4级/北风3-4级
2012年02月18日,阴/多云,16℃/8℃,北风3-4级/北风3-4级
2012年02月19日,阴/多云,18℃/11℃,无持续风向≤3级/无持续风向≤3级
2012年02月20日,多云/阴,21℃/13℃,无持续风向≤3级/无持续风向≤3级
2012年02月21日,小雨/阴,21℃/17℃,无持续风向≤3级/无持续风向≤3级
2012年02月22日,小到中雨/小雨,23℃/18℃,无持续风向≤3级/无持续风向≤3级
2012年02月23日,小雨/阴,23℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年02月24日,小雨/小雨,23℃/15℃,无持续风向≤3级/东北风3-4级
2012年02月25日,小雨/小雨,18℃/10℃,北风3-4级/北风3-4级
2012年02月26日,小雨/小雨,12℃/8℃,北风3-4级/北风3-4级
2012年02月27日,小到中雨/小到中雨,11℃/6℃,无持续风向≤3级/无持续风向≤3级
2012年02月28日,小到中雨/阴,12℃/10℃,无持续风向≤3级/无持续风向≤3级
2012年02月29日,小雨/小雨,17℃/13℃,无持续风向≤3级/无持续风向≤3级
2012年03月01日,小雨/雾,18℃/14℃,无持续风向≤3级/无持续风向≤3级
2012年03月02日,小雨/雾,22℃/18℃,无持续风向≤3级/无持续风向≤3级
2012年03月03日,阴/阴,22℃/16℃,无持续风向≤3级/无持续风向≤3级
2012年03月04日,小雨/中到大雨,22℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年03月05日,中雨/小雨,23℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年03月06日,小雨/中雨,27℃/21℃,无持续风向≤3级/无持续风向≤3级
2012年03月07日,小雨/小雨,24℃/14℃,无持续风向≤3级/北风3-4级
2012年03月08日,小到中雨/小雨,17℃/10℃,无持续风向≤3级/北风3-4级
2012年03月09日,小雨/小雨,13℃/9℃,北风3-4级/北风3-4级
2012年03月10日,小雨/小雨,12℃/10℃,无持续风向≤3级/北风3-4级
2012年03月11日,小雨/小雨,12℃/8℃,无持续风向≤3级/北风3-4级
2012年03月12日,小雨/阴,14℃/12℃,北风3-4级/无持续风向≤3级
2012年03月13日,阴/阴,16℃/12℃,无持续风向≤3级/无持续风向≤3级
2012年03月14日,小雨/雾,17℃/15℃,无持续风向≤3级/无持续风向≤3级
2012年03月15日,小雨/小雨,21℃/17℃,无持续风向≤3级/无持续风向≤3级
2012年03月16日,小雨/小雨,24℃/20℃,无持续风向≤3级/无持续风向≤3级
2012年03月17日,小雨/阴,25℃/20℃,无持续风向≤3级/无持续风向≤3级
2012年03月18日,小雨/阴,26℃/20℃,无持续风向≤3级/无持续风向≤3级
2012年03月19日,多云/阴,26℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年03月20日,阴/小雨,26℃/18℃,无持续风向≤3级/无持续风向≤3级
2012年03月21日,阴/阴,24℃/18℃,无持续风向≤3级/无持续风向≤3级
2012年03月22日,小雨/阴,25℃/15℃,无持续风向≤3级/无持续风向≤3级
2012年03月23日,小雨/小雨,21℃/11℃,北风3-4级/北风4-5级
2012年03月24日,多云/晴,20℃/10℃,北风3-4级/无持续风向≤3级
2012年03月25日,晴/晴,23℃/13℃,无持续风向≤3级/无持续风向≤3级
2012年03月26日,晴/多云,25℃/12℃,无持续风向微风/无持续风向微风
2012年03月27日,晴/多云,26℃/14℃,无持续风向≤3级/无持续风向≤3级
2012年03月28日,多云/多云,27℃/18℃,无持续风向≤3级/无持续风向≤3级
2012年03月29日,多云/多云,27℃/18℃,无持续风向≤3级/无持续风向≤3级
2012年03月30日,多云/阵雨,28℃/16℃,无持续风向≤3级/北风3-4级
2012年03月31日,阴/晴,24℃/16℃,北风3-4级/无持续风向≤3级
2012年04月01日,多云/多云,27℃/16℃,无持续风向≤3级/无持续风向≤3级
2012年04月02日,多云/多云,27℃/18℃,无持续风向≤3级/无持续风向≤3级
2012年04月03日,阴/多云,26℃/21℃,无持续风向≤3级/无持续风向≤3级
2012年04月04日,多云/多云,29℃/20℃,无持续风向≤3级/无持续风向≤3级
2012年04月05日,小到中雨/大雨,24℃/18℃,无持续风向≤3级/东北风3-4级
2012年04月06日,大雨/小到中雨,21℃/17℃,无持续风向≤3级/无持续风向≤3级
2012年04月07日,阵雨/阴,22℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年04月08日,小到中雨/小到中雨,22℃/17℃,无持续风向≤3级/无持续风向≤3级
2012年04月09日,阴/阴,24℃/22℃,无持续风向≤3级/无持续风向≤3级
2012年04月10日,阴/多云,29℃/22℃,无持续风向≤3级/无持续风向≤3级
2012年04月11日,多云/多云,30℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年04月12日,雷阵雨/小到中雨,29℃/22℃,无持续风向≤3级/无持续风向≤3级
2012年04月13日,雷阵雨/雷阵雨,28℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年04月14日,阵雨/多云,29℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年04月15日,雷阵雨/大到暴雨,31℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年04月16日,阵雨/雷阵雨,28℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年04月17日,中到大雨/中雨,26℃/22℃,无持续风向≤3级/无持续风向≤3级
2012年04月18日,阵雨/大到暴雨,25℃/20℃,无持续风向≤3级/无持续风向≤3级
2012年04月19日,大雨/暴雨,23℃/21℃,无持续风向≤3级/无持续风向≤3级
2012年04月20日,暴雨/中雨,24℃/21℃,无持续风向≤3级/无持续风向≤3级
2012年04月21日,阴/多云,26℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年04月22日,多云/多云,31℃/21℃,无持续风向微风/无持续风向微风
2012年04月23日,阵雨/阵雨,28℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年04月24日,阵雨/阵雨,29℃/22℃,无持续风向≤3级/无持续风向≤3级
2012年04月25日,大到暴雨/雷阵雨,28℃/22℃,无持续风向≤3级/北风3-4级
2012年04月26日,多云/多云,27℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年04月27日,阵雨/中到大雨,28℃/20℃,无持续风向≤3级/无持续风向≤3级
2012年04月28日,雷阵雨/雷阵雨,27℃/22℃,无持续风向≤3级/无持续风向≤3级
2012年04月29日,阵雨/雷阵雨,29℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年04月30日,雷阵雨/中到大雨,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年05月01日,雷阵雨/多云,31℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年05月02日,雷阵雨/阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年05月03日,雷阵雨/雷阵雨,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年05月04日,阵雨/雷阵雨,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年05月05日,雷阵雨/多云,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年05月06日,多云/雷阵雨,33℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年05月07日,多云/多云,32℃/25℃,无持续风向微风/无持续风向微风
2012年05月08日,多云/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年05月09日,晴/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年05月10日,阴/中雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年05月11日,阴/雷阵雨,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年05月12日,阴/雷阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年05月13日,暴雨/雷阵雨,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年05月14日,中到大雨/中到大雨,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年05月15日,阵雨/雷阵雨,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年05月16日,阵雨/雷阵雨,33℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年05月17日,阴/大雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年05月18日,大雨/阵雨,29℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年05月19日,小到中雨/中雨,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年05月20日,多云/多云,30℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年05月21日,多云/多云,34℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年05月22日,多云/多云,33℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年05月23日,多云/多云,32℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年05月24日,多云/多云,32℃/22℃,无持续风向≤3级/无持续风向≤3级
2012年05月25日,多云/多云,33℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年05月26日,阵雨/雷阵雨,30℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年05月27日,中到大雨/雷阵雨,29℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年05月28日,中到大雨/阵雨,29℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年05月29日,阴/阵雨,30℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年05月30日,雷阵雨/阵雨,30℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年05月31日,多云/多云,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年06月01日,多云/多云,31℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年06月02日,多云/多云,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年06月03日,多云/多云,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年06月04日,多云/多云,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年06月05日,多云/多云,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年06月06日,多云/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年06月07日,多云/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年06月08日,阵雨/阵雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年06月09日,雷阵雨/多云,34℃/27℃,无持续风向≤3级/无持续风向≤3级
2012年06月10日,雷阵雨/雷阵雨,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年06月11日,阵雨/暴雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年06月12日,阵雨/阵雨,31℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年06月13日,雷阵雨/阵雨,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年06月14日,中雨/阵雨,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年06月15日,阴/雷阵雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年06月16日,阵雨/中到大雨,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年06月17日,暴雨/中雨,30℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年06月18日,阵雨/中到大雨,32℃/25℃,东北风3-4级/东风3-4级
2012年06月19日,阵雨/多云,32℃/26℃,东风3-4级/无持续风向≤3级
2012年06月20日,雷阵雨/雷阵雨,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年06月21日,中到大雨/暴雨,30℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年06月22日,中到大雨/阵雨,30℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年06月23日,雷阵雨/雷阵雨,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年06月24日,雷阵雨/中雨,30℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年06月25日,雷阵雨/雷阵雨,30℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年06月26日,雷阵雨/阵雨,32℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年06月27日,多云/多云,32℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年06月28日,多云/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年06月29日,晴/阵雨,35℃/24℃,东北风3-4级/东北风3-4级
2012年06月30日,阵雨/阵雨,31℃/25℃,东南风3-4级/东南风3-4级
2012年07月01日,阵雨/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年07月02日,多云/多云,34℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年07月03日,多云/多云,34℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年07月04日,晴/多云,34℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年07月05日,雷阵雨/阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年07月06日,阵雨/阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年07月07日,阵雨/阵雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年07月08日,雷阵雨/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年07月09日,多云/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年07月10日,晴/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年07月11日,晴/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年07月12日,晴/晴,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年07月13日,阵雨/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年07月14日,雷阵雨/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年07月15日,雷阵雨/多云,35℃/27℃,无持续风向≤3级/无持续风向≤3级
2012年07月16日,阵雨/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年07月17日,雷阵雨/多云,34℃/27℃,无持续风向≤3级/无持续风向≤3级
2012年07月18日,雷阵雨/多云,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年07月19日,多云/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年07月20日,多云/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年07月21日,晴/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年07月22日,阵雨/中雨,35℃/25℃,无持续风向≤3级/东南风4-5级
2012年07月23日,阵雨/大雨,32℃/25℃,无持续风向≤3级/东北风4-5级
2012年07月24日,暴雨/暴雨,27℃/25℃,东风6-7级/东南风4-5级
2012年07月25日,暴雨/暴雨,28℃/24℃,东南风3-4级/东南风3-4级
2012年07月26日,中到大雨/中到大雨,29℃/24℃,无持续风向≤3级/东南风3-4级
2012年07月27日,中到大雨/阵雨,29℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年07月28日,多云/多云,29℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年07月29日,多云/多云,33℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年07月30日,晴/晴,35℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年07月31日,晴/晴,35℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年08月01日,晴/晴,36℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年08月02日,晴/晴,37℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年08月03日,多云/阵雨,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年08月04日,雷阵雨/阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月05日,阵雨/多云,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月06日,多云/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月07日,多云/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月08日,晴/多云,36℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月09日,晴/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月10日,阵雨/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年08月11日,雷阵雨/多云,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年08月12日,雷阵雨/雷阵雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月13日,雷阵雨/雷阵雨,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年08月14日,雷阵雨/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月15日,晴/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月16日,雷阵雨/雷阵雨,33℃/25℃,无持续风向≤3级/东北风4-5级
2012年08月17日,中雨/雷阵雨,30℃/25℃,东风4-5级/东南风3-4级
2012年08月18日,多云/阵雨,33℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年08月19日,多云/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月20日,多云/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年08月21日,多云/雷阵雨,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月22日,雷阵雨/雷阵雨,32℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月23日,多云/多云,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月24日,多云/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月25日,多云/多云,35℃/26℃,无持续风向≤3级/东北风3-4级
2012年08月26日,多云/晴,34℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年08月27日,晴/多云,35℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年08月28日,晴/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月29日,晴/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年08月30日,阵雨/多云,35℃/26℃,无持续风向≤3级/无持续风向≤3级
2012年08月31日,雷阵雨/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年09月01日,雷阵雨/雷阵雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年09月02日,阵雨/雷阵雨,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年09月03日,阵雨/雷阵雨,33℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年09月04日,多云/雷阵雨,33℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年09月05日,多云/多云,34℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年09月06日,多云/多云,33℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年09月07日,多云/雷阵雨,34℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年09月08日,多云/多云,32℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年09月09日,多云/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年09月10日,晴/多云,34℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年09月11日,多云/多云,33℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年09月12日,晴/多云,35℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年09月13日,雷阵雨/阵雨,32℃/22℃,北风3-4级/北风3-4级
2012年09月14日,多云/多云,29℃/21℃,东北风3-4级/北风3-4级
2012年09月15日,多云/晴,29℃/20℃,东北风3-4级/北风3-4级
2012年09月16日,晴/晴,30℃/20℃,北风3-4级/东北风3-4级
2012年09月17日,晴/晴,31℃/19℃,无持续风向≤3级/东北风3-4级
2012年09月18日,多云/多云,31℃/21℃,无持续风向≤3级/无持续风向≤3级
2012年09月19日,多云/多云,30℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年09月20日,多云/多云,30℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年09月21日,多云/多云,30℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年09月22日,多云/多云,31℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年09月23日,阵雨/多云,31℃/25℃,无持续风向≤3级/无持续风向≤3级
2012年09月24日,多云/多云,31℃/24℃,无持续风向≤3级/无持续风向≤3级
2012年09月25日,多云/多云,30℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年09月26日,多云/多云,31℃/23℃,无持续风向≤3级/无持续风向≤3级
2012年09月27日,多云/晴,31℃/22℃,无持续风向≤3级/无持续风向≤3级
2012年09月28日,晴/晴,32℃/22℃,北风3-4级/北风3-4级
2012年09月29日,晴/晴,30℃/20℃,北风3-4级/北风3-4级
2012年09月30日,晴/晴,29℃/19℃,无持续风向≤3级/北风3-4级
2012年10月01日,晴/晴,29℃/19℃,无持续风向≤3级/北风3-4级
2012年10月02日,晴/晴,30℃/18℃,无持续风向≤3级/无持续风向≤3级
2012年10月03日,晴/晴,31℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年10月04日,晴/多云,31℃/20℃,无持续风向≤3级/无持续风向≤3级
2012年10月05日,晴/晴,31℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年10月06日,晴/晴,31℃/20℃,无持续风向≤3级/无持续风向≤3级
2012年10月07日,多云/晴,31℃/22℃,无持续风向≤3级/无持续风向≤3级
2012年10月08日,多云/晴,30℃/22℃,无持续风向≤3级/无持续风向≤3级
2012年10月09日,晴/晴,31℃/20℃,无持续风向≤3级/无持续风向≤3级
2012年10月10日,晴/晴,31℃/21℃,无持续风向≤3级/无持续风向≤3级
2012年10月11日,晴/晴,31℃/17℃,无持续风向≤3级/无持续风向≤3级
2012年10月12日,晴/晴,30℃/18℃,无持续风向≤3级/无持续风向≤3级
2012年10月13日,晴/晴,31℃/19℃,无持续风向≤3级/无持续风向≤3级
2012年10月14日,晴/晴,31℃/21℃,无持续风向≤3级/无持续风向≤3级
2012年10月15日,晴/晴,30℃/22℃,无持续风向≤3级/无持续风向≤3级
